"Area","Kind","Name","File","Line"
"WEB","interface","LoginInput","apps\web\src\features\auth\auth.types.ts","85"
"WEB","type","MilestoneStatus","apps\web\src\features\development\development-types.ts","3"
"API","interface","MonitoringSummaryDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","3"
"API","interface","MonitoringTargetDto","apps\api\src\modules\monitoring\dto\monitoring-response.dto.ts","111"
"API","class","MoveTaskDto","apps\api\src\modules\development\dto\development.dto.ts","137"
"API","class","NotificationListQueryDto","apps\api\src\modules\team-operations\dto\notification.dto.ts","18"
"API","class","PageReportItemDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","37"
"API","class","PageReportQueryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","88"
"WEB","interface","PageReportResponse","apps\web\src\features\analytics-reports\analytics-reports.types.ts","55"
"API","class","PageReportResponseDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","66"
"WEB","interface","PaginatedResponse","apps\web\src\features\releases\release-management.types.ts","139"
"WEB","interface","Pagination","apps\web\src\features\analytics-reports\analytics-reports.types.ts","11"
"API","class","ProcessAnalyticsDto","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","11"
"API","interface","ProcessAnalyticsRangeInput","apps\api\src\modules\analytics-processing\services\analytics-range-processor.service.ts","12"
"API","interface","ProcessAnalyticsRangeResult","apps\api\src\modules\analytics-processing\services\analytics-range-processor.service.ts","22"
"API","class","ProcessingRunDto","apps\api\src\modules\analytics-processing\dto\analytics-processing-response.dto.ts","3"
"WEB","type","ProcessingRunStatus","apps\web\src\features\analytics-processing\analytics-processing.types.ts","1"
"API","class","PublicHealthResponseDto","apps\api\src\modules\health\dto\health-response.dto.ts","3"
"API","interface","PublishWebhookEventInput","apps\api\src\modules\webhooks\services\webhook-event-publisher.service.ts","6"
"API","interface","QueueProcessingInput","apps\api\src\modules\analytics-processing\services\analytics-processing-queue.service.ts","11"
"API","interface","RateLimitResult","apps\api\src\common\rate-limit\shared-rate-limit.service.ts","4"
"API","interface","RawEventProcessingResult","apps\api\src\modules\analytics-engine\services\raw-event-processing.service.ts","16"
"WEB","interface","RawEventQuery","apps\web\src\features\tracking\tracking-types.ts","66"
"API","class","RawEventQueryDto","apps\api\src\modules\analytics-ingestion\dto\raw-event-query.dto.ts","6"
"WEB","interface","RawEventsResponse","apps\web\src\features\tracking\tracking-types.ts","53"
"API","class","ReadinessResponseDto","apps\api\src\modules\health\dto\health-response.dto.ts","27"
"API","interface","RebuiltSessionResult","apps\api\src\modules\analytics-engine\services\analytics-processing.service.ts","45"
"API","interface","RebuiltSessionResult","apps\api\src\modules\analytics-engine\services\session-rebuilder.service.ts","11"
"WEB","interface","RefreshResponse","apps\web\src\features\lib\api\api-client.ts","16"
"API","class","RefreshTokenDto","apps\api\src\modules\auth\dto\refresh-token.dto.ts","4"
"API","interface","RefreshTokenPayload","apps\api\src\modules\auth\interfaces\jwt-payload.interface.ts","6"
"API","class","RegisterDto","apps\api\src\modules\auth\dto\register.dto.ts","4"
"WEB","interface","RegisterInput","apps\web\src\features\auth\auth.types.ts","91"
"API","class","ReleaseListQueryDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","185"
"WEB","type","ReleaseStatus","apps\web\src\features\releases\release-management.types.ts","1"
"API","class","ReorderItemsDto","apps\api\src\modules\development\dto\development.dto.ts","124"
"WEB","interface","RepositoryBranchesResponse","apps\web\src\features\repositories\code-explorer.types.ts","9"
"API","class","RepositoryBranchQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","3"
"API","class","RepositoryDiffQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","34"
"WEB","interface","RepositoryDiffResponse","apps\web\src\features\repositories\code-explorer.types.ts","83"
"API","class","RepositoryFileQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","10"
"WEB","interface","RepositoryListResponse","apps\web\src\features\repositories\repository.types.ts","43"
"API","class","RepositorySearchQueryDto","apps\api\src\modules\repositories\dto\code-explorer.dto.ts","22"
"WEB","interface","RepositorySearchResponse","apps\web\src\features\repositories\code-explorer.types.ts","73"
"WEB","interface","RepositoryTreeResponse","apps\web\src\features\repositories\code-explorer.types.ts","29"
"API","class","ReprocessAnalyticsDto","apps\api\src\modules\analytics-processing\dto\reprocess-analytics.dto.ts","4"
"API","class","ReprocessAnalyticsDto","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","25"
