"Area","Kind","Name","File","Line"
"WEB","interface","ActivityItemProps","apps\web\src\features\activity\components\activity-item.tsx","29"
"WEB","interface","ActivityListQuery","apps\web\src\features\activity\activity-types.ts","118"
"WEB","interface","ActivityListResponse","apps\web\src\features\activity\activity-types.ts","113"
"WEB","interface","ActivityPagination","apps\web\src\features\activity\activity-types.ts","104"
"WEB","interface","AnalyticsAggregate","apps\web\src\features\analytics-engine\analytics-engine-types.ts","95"
"WEB","type","AnalyticsAggregateDimension","apps\web\src\features\analytics-engine\analytics-engine-types.ts","5"
"WEB","type","AnalyticsAggregatePeriod","apps\web\src\features\analytics-engine\analytics-engine-types.ts","7"
"WEB","interface","AnalyticsAggregateResponse","apps\web\src\features\analytics-engine\analytics-engine-types.ts","116"
"WEB","interface","AnalyticsBreakdownItem","apps\web\src\features\analytics-overview\analytics-overview.types.ts","11"
"WEB","type","AnalyticsDeviceType","apps\web\src\features\analytics-engine\analytics-engine-types.ts","1"
"WEB","type","AnalyticsDimension","apps\web\src\features\analytics-reports\analytics-reports.types.ts","7"
"WEB","interface","AnalyticsEnginePanelProps","apps\web\src\features\analytics-engine\components\analytics-engine-panel.tsx","15"
"WEB","interface","AnalyticsEngineStatus","apps\web\src\features\analytics-engine\analytics-engine-types.ts","66"
"WEB","interface","AnalyticsMetric","apps\web\src\features\analytics-overview\analytics-overview.types.ts","3"
"WEB","interface","AnalyticsOverviewDashboardProps","apps\web\src\features\analytics-overview\analytics-overview-dashboard.tsx","12"
"WEB","interface","AnalyticsOverviewResponse","apps\web\src\features\analytics-overview\analytics-overview.types.ts","31"
"WEB","interface","AnalyticsOverviewState","apps\web\src\features\analytics-overview\use-analytics-overview.ts","20"
"WEB","type","AnalyticsPreset","apps\web\src\features\analytics-reports\analytics-reports.types.ts","1"
"WEB","type","AnalyticsPreset","apps\web\src\features\analytics-overview\analytics-overview.types.ts","1"
"WEB","interface","AnalyticsProcessingPanelProps","apps\web\src\features\analytics-processing\analytics-processing-panel.tsx","11"
"WEB","interface","AnalyticsProcessingRun","apps\web\src\features\analytics-engine\analytics-engine-types.ts","23"
"WEB","interface","AnalyticsProcessingState","apps\web\src\features\analytics-engine\analytics-engine-types.ts","11"
"WEB","interface","AnalyticsProcessingStatus","apps\web\src\features\analytics-processing\analytics-processing.types.ts","31"
"WEB","type","AnalyticsProcessingStatus","apps\web\src\features\analytics-engine\analytics-engine-types.ts","9"
"WEB","interface","AnalyticsReportRequest","apps\web\src\features\analytics-reports\analytics-reports.types.ts","111"
"WEB","type","AnalyticsReportResponse","apps\web\src\features\analytics-reports\analytics-reports.types.ts","135"
"WEB","interface","AnalyticsReportsDashboardProps","apps\web\src\features\analytics-reports\analytics-reports-dashboard.tsx","25"
"WEB","type","AnalyticsReportTab","apps\web\src\features\analytics-reports\analytics-reports.types.ts","3"
"WEB","interface","AnalyticsRetentionResult","apps\web\src\features\analytics-engine\analytics-engine-types.ts","130"
